"","X","iterations","rows","columns","startzombies","starthumans","startimmune","endzombies","endhumans","endimmune"
"1","a1",15,10,10,1,99,0,100,0,0
"2","a2",15,10,10,1,99,0,100,0,0
"3","a3",15,10,10,1,24,75,11,14,75
"4","a4",15,10,10,1,41,58,35,7,58
"5","a5",15,10,10,1,22,77,17,6,77
"6","a6",15,10,10,1,6,93,1,6,93
"7","a7",15,10,10,1,7,92,3,5,92
"8","a8",15,10,10,1,4,95,3,2,95
"9","a9",15,10,10,1,3,96,1,3,96
"10","a10",20,20,20,1,399,0,400,0,0
"11","a11",20,20,20,1,399,0,400,0,0
"12","a12",20,20,20,1,399,0,400,0,0
"13","a13",20,20,20,1,399,0,400,0,0
"14","a14",20,20,20,1,105,294,37,69,294
"15","a15",20,20,20,1,379,20,380,0,20
"16","a16",20,20,20,1,275,124,276,0,124
"17","a17",20,20,20,1,220,179,220,1,179
"18","a18",20,20,20,1,165,234,156,10,234
"19","a19",20,20,20,1,142,257,133,10,257
"20","a20",20,20,10,1,60,139,44,17,139
"21","a21",20,20,20,1,190,209,188,3,209
"22","a22",20,20,20,1,83,316,23,61,316
"23","a23",20,20,20,1,104,295,35,70,295
"24","a24",20,20,20,1,192,207,189,4,207
"25","a25",20,20,20,1,190,209,186,5,209
"26","a26",20,20,20,1,145,254,137,9,254
"27","a27",20,20,20,1,76,323,3,74,323
"28","a28",20,20,20,1,132,267,127,6,267
"29","a29",20,20,20,1,102,297,6,97,297
"30","a30",20,20,20,1,104,295,63,42,295
"31","a31",20,20,20,1,353,46,354,0,46
"32","a32",20,20,20,1,353,46,354,0,46
"33","a33",20,20,20,1,274,125,275,0,125
"34","a34",20,20,20,1,271,128,272,0,128
"35","a35",20,20,20,1,271,128,271,1,128
"36","a36",20,20,20,1,267,132,268,0,132
"37","a37",20,20,20,1,54,345,7,48,345
"38","a38",20,20,20,1,45,354,4,42,354
"39","a39",20,20,20,1,26,373,2,25,373
"40","a40",20,20,20,1,25,374,3,23,374
"41","a41",25,100,100,1,9999,0,10000,0,0
"42","a42",25,100,100,1,9999,0,10000,0,0
"43","a43",25,100,100,1,9999,0,10000,0,0
"44","a44",25,100,100,1,9999,0,10000,0,0
"45","a45",25,100,100,1,9999,0,10000,0,0
"46","a46",25,100,100,1,2254,7745,155,2100,7745
"47","a47",25,100,100,1,184,9815,1,184,9815
"48","a48",25,100,100,1,3677,6322,883,2795,6322
"49","a49",25,100,100,1,1341,8658,29,1313,8658
"50","a50",25,100,100,1,543,9456,4,540,9456
"51","a51",25,100,100,1,813,9186,5,809,9186
"52","a52",25,100,100,1,317,9682,5,313,9682
"53","a53",25,100,100,1,300,9699,1,300,9699
"54","a54",25,100,100,1,218,9781,2,217,9781
"55","a55",25,100,100,1,118,9881,1,118,9881
"56","a53",25,100,100,1,295,9704,1,295,9704
"57","a54",25,100,100,1,247,9752,1,247,9752
"58","a55",25,100,100,1,92,9907,1,92,9907
"59","a56",25,100,100,1,9047,952,9048,0,952
"60","a57",25,100,100,1,8177,1822,8178,0,1822
"61","a58",25,100,100,1,6695,3304,6671,25,3304
"62","a59",25,100,100,1,5507,4492,5423,85,4492
"63","a60",25,100,100,1,4479,5520,3114,1366,5520
"64","a61",25,100,100,1,9510,489,9511,0,489
"65","a62",25,100,100,1,9704,295,9705,0,295
"66","a63",25,100,100,1,9417,582,9418,0,582
"67","a64",25,100,100,1,7789,2210,7788,2,2210
"68","a65",25,100,100,1,6345,3654,6306,40,3654
"69","a66",25,100,100,1,5219,4780,5151,69,4780
"70","a67",25,100,100,1,9900,99,9901,0,99
"71","a68",25,100,100,1,4441,5558,2586,1856,5558
"72","a69",25,100,100,1,4917,5082,2732,2186,5082
"73","a70",25,100,100,1,6037,3962,5934,104,3962
"74","a71",25,100,100,1,3024,6975,299,2726,6975
"75","a72",25,100,100,1,2056,7943,218,1839,7943
"76","a73",25,100,100,1,1539,8460,11,1529,8460
"77","a74",25,100,100,1,8029,1970,8020,10,1970
"78","a75",25,100,100,1,946,9053,40,907,9053
"79","a76",25,100,100,1,756,9243,7,750,9243
"80","a77",25,100,100,1,594,9405,4,591,9405
"81","a78",25,100,100,1,406,9593,1,406,9593
"82","a79",25,100,100,1,307,9692,4,304,9692
