"","test","step","rows","cols","human","zombie","immune"
"a53","Test 53",0,100,100,295,1,9704
"a531","Test 53",1,100,100,295,1,9704
"a532","Test 53",2,100,100,295,1,9704
"a533","Test 53",3,100,100,295,1,9704
"a534","Test 53",4,100,100,295,1,9704
"a535","Test 53",5,100,100,295,1,9704
"a536","Test 53",6,100,100,295,1,9704
"a537","Test 53",7,100,100,295,1,9704
"a538","Test 53",8,100,100,295,1,9704
"a539","Test 53",9,100,100,295,1,9704
"a5310","Test 53",10,100,100,295,1,9704
"a5311","Test 53",11,100,100,295,1,9704
"a5312","Test 53",12,100,100,295,1,9704
"a5313","Test 53",13,100,100,295,1,9704
"a5314","Test 53",14,100,100,295,1,9704
"a5315","Test 53",15,100,100,295,1,9704
"a5316","Test 53",16,100,100,295,1,9704
"a5317","Test 53",17,100,100,295,1,9704
"a5318","Test 53",18,100,100,295,1,9704
"a5319","Test 53",19,100,100,295,1,9704
"a5320","Test 53",20,100,100,295,1,9704
"a5321","Test 53",21,100,100,295,1,9704
"a5322","Test 53",22,100,100,295,1,9704
"a5323","Test 53",23,100,100,295,1,9704
"a5324","Test 53",24,100,100,295,1,9704
"a5325","Test 53",25,100,100,295,1,9704
"a5326","Test 53",26,100,100,295,1,9704
"a54","Test 54",0,100,100,247,1,9752
"a541","Test 54",1,100,100,247,1,9752
"a542","Test 54",2,100,100,247,1,9752
"a543","Test 54",3,100,100,247,1,9752
"a544","Test 54",4,100,100,247,1,9752
"a545","Test 54",5,100,100,247,1,9752
"a546","Test 54",6,100,100,247,1,9752
"a547","Test 54",7,100,100,247,1,9752
"a548","Test 54",8,100,100,247,1,9752
"a549","Test 54",9,100,100,247,1,9752
"a5410","Test 54",10,100,100,247,1,9752
"a5411","Test 54",11,100,100,247,1,9752
"a5412","Test 54",12,100,100,247,1,9752
"a5413","Test 54",13,100,100,247,1,9752
"a5414","Test 54",14,100,100,247,1,9752
"a5415","Test 54",15,100,100,247,1,9752
"a5416","Test 54",16,100,100,247,1,9752
"a5417","Test 54",17,100,100,247,1,9752
"a5418","Test 54",18,100,100,247,1,9752
