"","iterations","rows","columns","startzombies","starthumans","startimmune","endzombies","endhumans","endimmune"
"1",0,0,0,0,0,0,0,0,0
"a53",25,100,100,1,295,9704,1,295,9704
"a54",25,100,100,1,247,9752,1,247,9752
"a55",25,100,100,1,92,9907,1,92,9907
"a56",25,100,100,1,9047,952,9048,0,952
"a57",25,100,100,1,8177,1822,8178,0,1822
"a58",25,100,100,1,6695,3304,6671,25,3304
"a59",25,100,100,1,5507,4492,5423,85,4492
"a60",25,100,100,1,4479,5520,3114,1366,5520
"a61",25,100,100,1,9510,489,9511,0,489
"a62",25,100,100,1,9704,295,9705,0,295
"a63",25,100,100,1,9417,582,9418,0,582
"a64",25,100,100,1,7789,2210,7788,2,2210
"a65",25,100,100,1,6345,3654,6306,40,3654
"a66",25,100,100,1,5219,4780,5151,69,4780
"a67",25,100,100,1,9900,99,9901,0,99
"a68",25,100,100,1,4441,5558,2586,1856,5558
"a69",25,100,100,1,4917,5082,2732,2186,5082
"a70",25,100,100,1,6037,3962,5934,104,3962
"a71",25,100,100,1,3024,6975,299,2726,6975
"a72",25,100,100,1,2056,7943,218,1839,7943
"a73",25,100,100,1,1539,8460,11,1529,8460
"a74",25,100,100,1,8029,1970,8020,10,1970
"a75",25,100,100,1,946,9053,40,907,9053
"a76",25,100,100,1,756,9243,7,750,9243
"a77",25,100,100,1,594,9405,4,591,9405
"a78",25,100,100,1,406,9593,1,406,9593
"a79",25,100,100,1,307,9692,4,304,9692
