"","iterations","rows","columns","startzombies","starthumans","startimmune","endzombies","endhumans","endimmune"
"a1",15,10,10,1,99,0,100,0,0
"a2",15,10,10,1,99,0,100,0,0
"a3",15,10,10,1,24,75,11,14,75
"a4",15,10,10,1,41,58,35,7,58
"a5",15,10,10,1,22,77,17,6,77
"a6",15,10,10,1,6,93,1,6,93
"a7",15,10,10,1,7,92,3,5,92
"a8",15,10,10,1,4,95,3,2,95
"a9",15,10,10,1,3,96,1,3,96
"a10",20,20,20,1,399,0,400,0,0
"a11",20,20,20,1,399,0,400,0,0
"a12",20,20,20,1,399,0,400,0,0
"a13",20,20,20,1,399,0,400,0,0
"a14",20,20,20,1,105,294,37,69,294
"a15",20,20,20,1,379,20,380,0,20
"a16",20,20,20,1,275,124,276,0,124
"a17",20,20,20,1,220,179,220,1,179
"a18",20,20,20,1,165,234,156,10,234
"a19",20,20,20,1,142,257,133,10,257
"a20",20,20,10,1,60,139,44,17,139
"a21",20,20,20,1,190,209,188,3,209
"a22",20,20,20,1,83,316,23,61,316
"a23",20,20,20,1,104,295,35,70,295
"a24",20,20,20,1,192,207,189,4,207
"a25",20,20,20,1,190,209,186,5,209
"a26",20,20,20,1,145,254,137,9,254
"a27",20,20,20,1,76,323,3,74,323
"a28",20,20,20,1,132,267,127,6,267
"a29",20,20,20,1,102,297,6,97,297
"a30",20,20,20,1,104,295,63,42,295
"a31",20,20,20,1,353,46,354,0,46
"a32",20,20,20,1,353,46,354,0,46
"a33",20,20,20,1,274,125,275,0,125
"a34",20,20,20,1,271,128,272,0,128
"a35",20,20,20,1,271,128,271,1,128
"a36",20,20,20,1,267,132,268,0,132
"a37",20,20,20,1,54,345,7,48,345
"a38",20,20,20,1,45,354,4,42,354
"a39",20,20,20,1,26,373,2,25,373
"a40",20,20,20,1,25,374,3,23,374
"a41",25,100,100,1,9999,0,10000,0,0
"a42",25,100,100,1,9999,0,10000,0,0
"a43",25,100,100,1,9999,0,10000,0,0
"a44",25,100,100,1,9999,0,10000,0,0
"a45",25,100,100,1,9999,0,10000,0,0
"a46",25,100,100,1,2254,7745,155,2100,7745
"a47",25,100,100,1,184,9815,1,184,9815
"a48",25,100,100,1,3677,6322,883,2795,6322
"a49",25,100,100,1,1341,8658,29,1313,8658
"a50",25,100,100,1,543,9456,4,540,9456
"a51",25,100,100,1,813,9186,5,809,9186
"a52",25,100,100,1,317,9682,5,313,9682
"a53",25,100,100,1,300,9699,1,300,9699
"a54",25,100,100,1,218,9781,2,217,9781
"a55",25,100,100,1,118,9881,1,118,9881
